date,graph_zscore,node_degree,clustering_coeff,eigen_centrality,reversal_5d,reversal_10d,momentum_21d,momentum_63d,vol_20d,vol_60d,vol_ratio,funding_rate_z30d,funding_rate_change_5d,oi_change_5d,oi_zscore_30d,fg_x_vol
2022-01-07,0.051072613816122124,0.10106240357728646,0.07351866863787923,0.10609146180440308,0.05956816502919226,0.048556855550546923,0.05812320061251118,0.06654447210980198,0.10845525710404766,0.11199910287572432,0.052065718711074474,0.04369454926938934,0.055109733117157944,0.0,0.0,0.064137797784863
2022-01-14,0.04995173493008541,0.09745424946608901,0.07656868428174325,0.11035433515323687,0.05986114859859791,0.049002498809509146,0.056111461784281245,0.06415407814085614,0.10044749105280387,0.11242254664669456,0.0573337792070481,0.04476505351113528,0.0550075244873676,0.0,0.0,0.06656541393055161
2022-01-21,0.04690934633687045,0.09786391415151341,0.07618184857993589,0.11589020993935667,0.05864522276482458,0.05071164953029017,0.05395321600581889,0.0729440102037953,0.08939580401551846,0.10681654858648014,0.05554641283480166,0.04615014593140361,0.05934608304593752,0.0,0.0,0.06964558807345332
2022-01-28,0.053433003306779,0.09635634098356682,0.07845825544642197,0.11821214099034692,0.05860397296083417,0.047335330498288364,0.052918853219607466,0.07536107001965585,0.08377667753483724,0.09982011181378742,0.05944923524991604,0.048365656220895226,0.06296228830352443,0.0,0.0,0.06494706345153917
2022-02-04,0.05326373190744695,0.09281585326984589,0.07872756039998859,0.12452644292592827,0.05875509001033106,0.04719525061044178,0.06039661458887426,0.07544428269038891,0.07745663211093966,0.09921887435779506,0.05749848047403325,0.044955599488721174,0.061824551813143336,0.0,0.0,0.06792103535212185
2022-02-11,0.0642356545873266,0.09141225486147407,0.07154844667297457,0.12673176569020606,0.06482707142338387,0.045235416869434386,0.0574519404793456,0.07075415134304515,0.06965077745301804,0.10887382457369776,0.05636429058986534,0.044210669304228324,0.05715485287617547,0.0,0.0,0.07154888327582476
2022-02-18,0.06064800466250693,0.08614322663760586,0.06419973795568622,0.12533580212200277,0.058854400402613034,0.042910318492946305,0.0627646650675358,0.07450967266091128,0.07369157651134474,0.115585392853178,0.05543965481211139,0.04846424461622802,0.05752587094528605,0.0,0.0,0.07392743226004364
2022-02-25,0.060710704523218285,0.08407143132780197,0.06076586767255662,0.1218784003415991,0.05727077193829789,0.047862865358236945,0.06177633500389384,0.07260854050672556,0.07118669695579777,0.1219187636032677,0.06242119262766607,0.0435628300024028,0.05705003689996263,0.0,0.0,0.07691556323857292
2022-03-04,0.05486795084097604,0.08648884604213197,0.06573792569694706,0.1291753527715589,0.057565486046927745,0.04876652372865178,0.0608132317243268,0.07303120139347645,0.06540802772909406,0.11803928990899136,0.06279813294853771,0.04261933875251499,0.060499779468668226,0.0,0.0,0.07418891294719689
2022-03-11,0.05258655131144217,0.0810196575128839,0.06557139458739744,0.12640279143834168,0.05415943404601693,0.045498275035718266,0.06558357639100498,0.07516351530921721,0.06869456037407703,0.12042591309029353,0.06510219568607602,0.041703011902712264,0.06313380044076941,0.0,0.0,0.07495532287404925
2022-03-18,0.05631223225626668,0.08236411860883035,0.062435741626746824,0.13225129428697324,0.05507605683810263,0.04647979927946735,0.06423366166685583,0.07199977336161902,0.07073850652980208,0.11880669545832344,0.06253203966113621,0.0424130506321853,0.06166795518573208,0.0,0.0,0.07268907460795904
2022-03-25,0.06096155783202801,0.08503860227557265,0.06593011683072941,0.13111770531657826,0.05464691125392784,0.04827070053302074,0.061230022465862816,0.06703570467726011,0.06820754306924043,0.11207169426139803,0.06903353694856834,0.040316183842169284,0.06287591822338612,0.0,0.0,0.07326380247025796
