date,rank_ic,top_bot_spread,n
2022-01-07,0.06206896551724137,0.07777777777777789,30
2022-01-14,0.2863181312569522,0.24666666666666676,30
2022-01-21,0.3908787541713014,0.17111111111111116,30
2022-01-28,0.32547274749721916,0.13111111111111107,30
2022-02-04,0.48787541713014465,0.23333333333333328,30
2022-02-11,0.1897664071190211,0.051111111111110996,30
2022-02-18,0.23915461624026696,0.011111111111111183,30
2022-02-25,-0.15194660734149054,-0.028888888888888964,30
2022-03-04,0.009566184649610678,-0.020000000000000018,30
2022-03-11,-0.2449388209121246,-0.10888888888888881,30
2022-03-18,0.15595105672969967,-0.00666666666666671,30
2022-03-25,0.22580645161290322,0.05555555555555547,30
2022-04-01,0.2983314794215795,0.16222222222222216,30
2022-04-08,0.3192436040044494,0.1622222222222222,30
2022-04-15,0.47452725250278077,0.24666666666666653,30
2022-04-22,0.511012235817575,0.21111111111111108,30
2022-04-29,0.439377085650723,0.18,30
2022-05-06,0.2382647385984427,0.07777777777777778,30
2022-05-13,0.020689655172413793,0.015555555555555434,30
2022-05-20,0.13770856507230256,0.0377777777777778,30
2022-05-27,0.3659621802002225,0.28222222222222226,30
2022-06-03,0.4042269187986652,0.2022222222222222,30
2022-06-10,0.19377085650723025,0.09555555555555545,30
2022-06-17,0.014905450500556172,0.00666666666666671,30
2022-06-24,-0.35884315906562847,-0.16222222222222232,30
2022-07-01,0.17597330367074526,0.14000000000000012,30
2022-07-08,-0.16395995550611792,-0.1355555555555557,30
2022-07-15,0.15150166852057842,0.08666666666666656,30
2022-07-22,-0.06651835372636263,0.0022222222222221255,30
2022-07-29,0.24004449388209118,0.1355555555555556,30
2022-08-05,0.061179087875417135,0.020000000000000018,30
2022-08-12,0.06340378197997774,-0.09999999999999987,30
2022-08-19,-0.20088987764182425,-0.08666666666666661,30
2022-08-26,0.11813125695216908,-0.046666666666666634,30
2022-09-02,0.2360400444938821,0.02444444444444438,30
2022-09-09,0.47897664071190205,0.14000000000000007,30
2022-09-16,0.4852057842046719,0.18444444444444436,30
2022-09-23,0.46651835372636263,0.2555555555555554,30
2022-09-30,0.3397107897664071,0.12666666666666682,30
2022-10-07,0.37352614015572855,0.2822222222222223,30
2022-10-14,-0.13637374860956616,-0.04666666666666658,30
2022-10-21,0.23114571746384868,0.11777777777777759,30
2022-10-28,0.07808676307007786,-0.00666666666666671,30
2022-11-04,0.4518353726362625,0.24666666666666665,30
2022-11-11,0.17463848720800887,0.07777777777777783,30
2022-11-18,0.27341490545050057,0.12222222222222223,30
2022-11-25,0.385539488320356,0.2022222222222222,30
2022-12-02,0.5612903225806452,0.188888888888889,30
2022-12-09,0.4958843159065628,0.16666666666666657,30
2022-12-16,0.12480533926585094,0.1533333333333336,30
2022-12-23,-0.07630700778642936,-0.011111111111111072,30
