date,graph_zscore,node_degree,clustering_coeff,eigen_centrality,reversal_5d,reversal_10d,momentum_21d,momentum_63d,vol_20d,vol_60d,vol_ratio
2022-01-07,0.05777931096385398,0.12045985410823476,0.08755137092245903,0.13322192989129952,0.075123380764453,0.06598082407242961,0.06800402693017829,0.09070698070418769,0.11153774269081647,0.12298180940233874,0.06665276954974904
2022-01-14,0.0641173894153304,0.11901887091332061,0.08923217093351155,0.14102949981378834,0.07695825694552205,0.0589411275448435,0.06095361972344978,0.08942453745066756,0.09925137092219136,0.12673428834805087,0.07433886798932392
2022-01-21,0.06472677023447736,0.11200226143915057,0.0924132596692125,0.1466023196823692,0.07676386735610245,0.05965683468630641,0.07104312206486925,0.09429450573853287,0.09114414535851995,0.12001564633847643,0.0713372674319831
2022-01-28,0.07615311335775138,0.10516192196392485,0.08680928016808219,0.14602882025841182,0.07634351803732332,0.05469187814110502,0.07307298442826636,0.09758254568833478,0.09375507020983602,0.1272461522420032,0.06315471550496121
2022-02-04,0.07298591608213938,0.10642757069956747,0.07674834279180534,0.14115990599730846,0.07463171594121595,0.059121690274130015,0.07269558569640099,0.09864636309247153,0.091716050128821,0.13259356483121956,0.07327329446492044
2022-02-11,0.07651521975073187,0.10415740559708314,0.07716289468463304,0.13728820632580804,0.07454602479816495,0.05768412576650733,0.07240043305439306,0.10029627435245207,0.0895756356813812,0.1323143339248789,0.07805944606396635
2022-02-18,0.06917246610432096,0.10291345275413391,0.08498217252805595,0.13520564744590283,0.06837979296049757,0.06342540284347026,0.07299466794110539,0.10161956677028226,0.08730516260951762,0.13396621623197225,0.08003545181074102
2022-02-25,0.07009826334288716,0.10278365086720703,0.08681201656648468,0.13698664874062066,0.06480897333315858,0.0605954354255596,0.07295064270895885,0.10149675326986729,0.09042588070452051,0.13279290674642585,0.08024882829430975
2022-03-04,0.06953255342250546,0.10145530410778326,0.08057479159515768,0.14145816439100892,0.07014249524939059,0.05945045192008454,0.07288633531772888,0.09848170108949975,0.09117580364013195,0.1342696109997405,0.08057278826696855
2022-03-11,0.0741316031869575,0.10680291910363843,0.08109747264700251,0.14116114921734596,0.07125372297962904,0.06112169696055717,0.07311099533418873,0.09215068728662004,0.09041282301656592,0.13210426721700572,0.07665266305048904
2022-03-18,0.07163323848471956,0.10632762215208104,0.08146931718106551,0.14377034658033006,0.07505843407025661,0.05970767500236247,0.07862675112577551,0.09077677902606596,0.091017620216756,0.12303453571632916,0.07857768044425807
2022-03-25,0.07393430586341732,0.10543406500817662,0.08058319475380987,0.1397583868508877,0.0731868033350926,0.05923824312403223,0.08162300430726434,0.0935669080799996,0.09379172972084561,0.12190984673385134,0.07697351222262283
2022-04-01,0.07799760949068674,0.10419840974098536,0.07918165963095637,0.13997229456771548,0.07012943657341075,0.05958278889971135,0.07786015378138172,0.09384969287985143,0.09047875101088376,0.12393564246115128,0.08281356096326581
2022-04-08,0.0771348052725302,0.10832111535293737,0.08010218306666197,0.14065958832657113,0.07038228338061304,0.05953831834585638,0.07642486719659776,0.09434701910065009,0.08944033654597594,0.12789884853930608,0.07575063487230002
2022-04-15,0.0732518042300931,0.11374031573038355,0.0799887782127023,0.1341484691079166,0.06738600434306503,0.06068564501403914,0.08267128580221125,0.09162119571550308,0.08575897178967733,0.1365652605817211,0.07418226947268754
2022-04-22,0.06689433192605539,0.11448495203962734,0.07974286363888315,0.13859295457666126,0.06463063166244583,0.058909340274915976,0.07856912430044373,0.09282975168010132,0.08466942684489075,0.14562225706886783,0.07505436598710752
2022-04-29,0.0633339460198119,0.11794240242643268,0.08049249097777295,0.1363229153287775,0.061098190863575916,0.05523711433163244,0.08075289472103632,0.09061621428674252,0.08408959053805005,0.1544690033449839,0.07564523716118404
2022-05-06,0.06477653510352095,0.11824497328026524,0.08560793864564273,0.1352066070133332,0.05758154036606554,0.05323939902579516,0.07275209423318484,0.0891828673076335,0.0881678525930995,0.1578849334166037,0.07735525901485568
2022-05-13,0.06353788445398051,0.11030813746617349,0.09308280904191431,0.1476277936842415,0.05998721115593452,0.04621876288575591,0.07094546495312594,0.08388279106634235,0.08661928560530692,0.16376089182260967,0.07402896786461492
2022-05-20,0.06419200997794006,0.1098765400505432,0.0915678251064733,0.14080828449326263,0.06530299643136929,0.05209228398092266,0.07095170454429357,0.08006438333905379,0.07998930216033266,0.16953108359304914,0.07562358632275977
2022-05-27,0.06598552156617357,0.10741137615558348,0.08777509300714183,0.1447826983702653,0.06533863376893713,0.05289707098333815,0.06444060351946657,0.07609700177653103,0.0831180665587577,0.17379169584210724,0.07836223845169808
2022-06-03,0.059993120951995015,0.1130619876387675,0.0834790825501283,0.1584204911011524,0.06019799105119438,0.051609050347909136,0.06889639193329775,0.08096520859402152,0.07935989744486395,0.16975319967121003,0.07426357871546008
2022-06-10,0.05964887049636317,0.1218475748023394,0.0809392402967217,0.16159301748587587,0.061227044719160385,0.05255050680437314,0.06582990155027035,0.08368007378159897,0.0784968774159199,0.15493366391957675,0.07925322872780029
2022-06-17,0.056224034456367374,0.11969906708283576,0.0855392900418466,0.16861849919839847,0.05946748263188261,0.05349051223679001,0.07009872452200538,0.08443547293301251,0.08016424773044989,0.14871497987339674,0.07354768929301467
2022-06-24,0.057193695873952906,0.11724860138163115,0.08187147155291154,0.16585194600906494,0.0586129762032024,0.05195598053815144,0.06800953715075415,0.09400810497437559,0.08323228107701741,0.15038267600470456,0.07163272923423393
2022-07-01,0.05618047955702193,0.11664442127527926,0.08293747429049009,0.16562739791170564,0.06736637138792172,0.05275326755603613,0.062081979270560354,0.08464924399021496,0.08353953906113164,0.15361090508512631,0.07460892061451198
2022-07-08,0.0571093538356839,0.11802284021157522,0.0824208129869065,0.15813544003030827,0.0647749808044447,0.05326403539208948,0.06560288159254213,0.09649718517339219,0.07789680689879563,0.15318591630283532,0.07308974677142684
2022-07-15,0.05794542136325073,0.11609117505158074,0.0816717538629331,0.15808100074089723,0.06575192865084664,0.05394566117069974,0.06516609239140442,0.09522800739913143,0.0805565598797898,0.15585105511960193,0.06971134436986419
2022-07-22,0.05681510091515832,0.10905822908841617,0.08009521592555452,0.16006727930456344,0.06851301617231331,0.050107522668642726,0.06281634103021054,0.09651998244445971,0.09037763406121983,0.15229896530515993,0.07333071308430134
2022-07-29,0.05610694281752714,0.1174391767298291,0.07648784746059664,0.1543640757352578,0.06899776562630015,0.04871798455079857,0.0630414239588904,0.09630325572559643,0.09527091937397596,0.14985456279707274,0.07341604522415497
2022-08-05,0.057167623308793374,0.12040816428166146,0.07573619309276954,0.15875304220924866,0.06708973370838907,0.04834594897337653,0.06413065626522789,0.09348951540518419,0.09261694016522606,0.14788627700446733,0.07437590558565582
2022-08-12,0.05640090103852639,0.12525585085083968,0.07997479688697338,0.1535315809965925,0.06214545933543245,0.04709208269070047,0.06344520329989148,0.09218946174229793,0.0939340544272104,0.14807543185614414,0.07795517687539127
2022-08-19,0.061232071574158956,0.1168237511120664,0.07688913569694325,0.14727933720938508,0.0664080769780842,0.04959021143659095,0.06555292139539841,0.09102731711113957,0.08882784697554096,0.15872409152890848,0.07764523898178362
2022-08-26,0.06109508002099649,0.11090282362775966,0.07830359749515688,0.14684834414889447,0.06721909231994055,0.04868644777451031,0.06435699461774459,0.09337220086415361,0.09306734126491062,0.15842023771108835,0.07772784015484455
2022-09-02,0.06593943617647292,0.11486565954457624,0.07129711183562823,0.14565970691256946,0.0663405457118694,0.04760187466721773,0.06938517827714022,0.09346417010087753,0.09168650399732682,0.16034867324029745,0.07341113953602396
2022-09-09,0.061565607361713695,0.11590641864947773,0.07630819639294792,0.13796579417633945,0.06493499222390209,0.04721528043094181,0.06761435753197066,0.09369673597819296,0.08869927617888494,0.17331956656629993,0.0727737745093289
2022-09-16,0.06295145563271311,0.11962760662025375,0.08310666200685353,0.13542386051346122,0.0543150955227651,0.04773119948488831,0.06643131267576327,0.08999709688582495,0.0904827841918713,0.1778783464962622,0.07205457996934324
2022-09-23,0.0630059734273066,0.11045298539353177,0.08284882595065592,0.13657960885632034,0.05549763850541492,0.048401629294212226,0.06842974242265311,0.08900464781155874,0.08980469268035958,0.18245772259175952,0.0735165330662272
2022-09-30,0.06342051560255793,0.10897433444895964,0.08697563939504732,0.1390668568136075,0.05344184568923939,0.04663051356847867,0.06486733545677985,0.08770589665871836,0.08960444502534558,0.18996278681446538,0.06934983052680033
2022-10-07,0.05984637315375733,0.11764875063535266,0.08699082749514153,0.1361809420561409,0.05217863923856839,0.046616089098766314,0.06111411745561909,0.08289435049225397,0.08832520024520382,0.19713983392074147,0.07106487620845457
2022-10-14,0.05277567110583501,0.11251535692633989,0.08678173205294731,0.14829938885284313,0.05301322678495591,0.045427578198612074,0.06181753015808177,0.08621079250069578,0.08606333699009158,0.1969684118054438,0.07012697462415371
2022-10-21,0.05655266248961706,0.11282204538241103,0.08112575444042829,0.1437960142149325,0.05274828461031144,0.0447708184953899,0.06404173163047083,0.08692068921250022,0.08614154913400962,0.1979429294795588,0.07313752091037039
2022-10-28,0.061411821215426016,0.10758235198608838,0.07942625161996396,0.1526709188158678,0.04997006867792224,0.047728350160919746,0.0616201911953192,0.08381003002274692,0.0911486524020817,0.19988916968428388,0.0647421942193802
2022-11-04,0.061289646759388965,0.1107123837875474,0.0813221315808953,0.14701244677571831,0.05039889640053081,0.045324889798477444,0.060256765186585605,0.08659486414996156,0.08508728049955928,0.2069946379945552,0.06500605706678023
2022-11-11,0.05794193277447659,0.11543420670372566,0.08793164641820297,0.1505238979881036,0.05080063590148382,0.04216464515979453,0.05285163873012431,0.08888681460458622,0.0838939410061718,0.21244597256078768,0.05712466815254278
2022-11-18,0.05761971520854089,0.11491815605645148,0.08442145441386739,0.15298994335061067,0.05283237183641239,0.04382839289967991,0.05633617044925096,0.08606846264143356,0.08282213053720501,0.20826192018109085,0.05990128242545685
2022-11-25,0.05869308341264821,0.11000898872444193,0.08625579696211773,0.1593987616160804,0.05561487033668456,0.04203698723849129,0.05713862259588708,0.07945440829735796,0.08034871864855947,0.21239597296587262,0.058653789201858965
2022-12-02,0.060034481402318096,0.11939524354842074,0.0837434320004991,0.15761765541125902,0.05254413142870957,0.041164155246165346,0.055753209263447324,0.08281287409079179,0.07647327446983504,0.2144820718666485,0.05597947127190539
2022-12-09,0.05757355987927506,0.11629745047088018,0.0852114194975375,0.15750964103688564,0.055893972102714996,0.041518156518760445,0.05408569491630089,0.07769035229115404,0.0755193114928414,0.222390332639907,0.05631010915374296
2022-12-16,0.055544838938260524,0.11430311067633131,0.07832012430626985,0.1646842145316706,0.05428824053515041,0.04431471049822651,0.053198560168846,0.0757248767868736,0.07412272484462543,0.22896534091061127,0.05653325780313448
2022-12-23,0.059184336499061733,0.11080849371798658,0.08102377051939812,0.1656281748132402,0.056035146458518634,0.04504241751437788,0.05395460992723102,0.07495655818554366,0.07070914992814614,0.22778169666884873,0.05487564576764745
2022-12-30,0.05609041132809648,0.11418760702231007,0.07793205878662186,0.16085082825366384,0.05359287749884668,0.043544721188056114,0.057630676236859725,0.08185948516432758,0.07631152897895044,0.21965749818671648,0.05834230735555077
2023-01-06,0.05355598111705373,0.11426047238851872,0.07799962688505435,0.16329986730427512,0.05647438620101291,0.043553781796464866,0.05843448868120805,0.08522128614874395,0.07604612828536528,0.20725686920018122,0.06389711199212181
2023-01-13,0.051024392599124196,0.11259958790699441,0.08235781956161821,0.16641273835821668,0.05241346017217422,0.04313108875863824,0.055664541316679556,0.08486104847092893,0.0811034451234632,0.20109289374275896,0.06933898398940345
2023-01-20,0.05297709474478105,0.12772766601733382,0.07616471660604034,0.15980574550281204,0.05422306602731,0.04520824156744553,0.05804297860367115,0.08401270350323228,0.09251559793100116,0.18145869710516574,0.0678634923912069
2023-01-27,0.052687743560092946,0.12380794997758433,0.08132720167336187,0.15677149908789445,0.05856937348086613,0.04365901590809396,0.06045307418634997,0.08309218687320258,0.09830532856391841,0.1716389651014084,0.06968766158722693
2023-02-03,0.05171404084413307,0.13107757326781042,0.07900843142101832,0.15943464117893635,0.05419954960769017,0.04631030677440053,0.06094477789766283,0.07994232947397037,0.09406611474008869,0.17484225368934136,0.06845998110494787
2023-02-10,0.05178609369269492,0.1361646273276924,0.0792618090659318,0.16216698664720003,0.05744373074393315,0.05092110393832687,0.05755153238608369,0.07962606045234512,0.09407006739049059,0.165067680265321,0.06594030808998035
2023-02-17,0.051689814212488326,0.13624793302056445,0.08257397775591038,0.15876731704654726,0.054506712974216276,0.049438297572573286,0.057670170225924314,0.07689065188321886,0.09631833688700243,0.17325841583173418,0.06263837258982015
2023-02-24,0.0521550874617499,0.1330999493432629,0.08262462239163154,0.15611831035439472,0.05200003562309229,0.04979375378330355,0.05657099632487752,0.07274444239060641,0.09701977275410584,0.18248141916079733,0.06539161041217782
2023-03-03,0.05067336399884371,0.12156773662481346,0.0760961287770774,0.16487308532645614,0.052036970125160724,0.048840810978420884,0.06373469081603272,0.0855366255734013,0.08815090743746923,0.1823732105968795,0.06611646974544493
2023-03-10,0.04844866607513119,0.11698001821567595,0.08054663177578117,0.16418061555976235,0.047198628834896575,0.04627352090087863,0.06064295560158148,0.08174390121678804,0.08740581091421387,0.2008319259307133,0.06574732497457758
2023-03-17,0.04788672225137519,0.11529754116669659,0.08529706770539411,0.16504189086762897,0.05292989914734861,0.04632111116171034,0.05872421790520604,0.08472245365337518,0.08376759469677733,0.20403637315653042,0.055975128287957275
2023-03-24,0.045092040429236785,0.11629784756696461,0.08801244334067045,0.16205965542093334,0.05079147284942495,0.048389386342428196,0.05857652735269807,0.08136916479780881,0.08235462009476822,0.20884453859606036,0.05821230320900628
2023-03-31,0.044155138704900544,0.1202906637734195,0.08942808871989023,0.1653719336021252,0.05271684747088639,0.04405057505112311,0.058625024121287325,0.08405168569863332,0.0845742211296347,0.20107591045061768,0.055659911277482
2023-04-07,0.04561566514817504,0.12613700313490053,0.08384868189112009,0.16014754875145792,0.04958137462102693,0.0482972000710876,0.05842041185091358,0.079995690908501,0.082164482884314,0.20956271885727054,0.056229221881232604
2023-04-14,0.043173154562459286,0.12643037850973055,0.08705418311520592,0.15982375053000822,0.04952269357423994,0.04852425441117725,0.05914132050875485,0.0794529652784016,0.08267116848329475,0.21076296361483376,0.05344316741189377
2023-04-21,0.04612822973830572,0.12356574486463716,0.08374727004790954,0.15427797069846777,0.05436457548467876,0.04572620052922879,0.05422175979502419,0.07980509207889765,0.07808024941589252,0.22653782864158806,0.053545078705369724
2023-04-28,0.04364662944286964,0.1271579355483964,0.08548806325169576,0.15277624612786353,0.04591572909620827,0.04656680060606069,0.06068279547799758,0.07738470211173004,0.0719608225574526,0.2395045264135494,0.04891574936617621
2023-05-05,0.042040083298411864,0.12080254980368679,0.08666192740654372,0.14523202401158064,0.045047358165421804,0.0449778297409256,0.05890928098561595,0.08571599393947853,0.07495985321120151,0.24717165018780402,0.04848144924932976
2023-05-12,0.037424677776142265,0.11846525147257905,0.08314467122012564,0.14100497610507964,0.04619725474466566,0.04617312105881582,0.060725501517728014,0.08630335681348064,0.07552767230991161,0.2574054804515078,0.04762803652996392
2023-05-19,0.03710038362751344,0.1227596982739846,0.07873181077705621,0.14797739603214272,0.04571962934000089,0.04565739363500317,0.0638525872029122,0.08351260064743225,0.07377686251998934,0.2503557048722992,0.05055593307166613
2023-05-26,0.04064499675054621,0.1244854567628045,0.07679324639525272,0.1486702571763457,0.04520560814576178,0.04364669784662715,0.060160371210171815,0.08748796444342209,0.07276805858842438,0.2472655307622241,0.05287181191841967
